scenario,intensity,model,strategy,MAE,RMSE,updates,avg_update_ms,reaction_delay_batches
abrupt,weak,sgd,static,0.48671557191802306,0.5323803419628482,0,0.0,
abrupt,weak,sgd,periodic_k5,0.3279428565466503,0.3726999776508349,4,1.320399998803623,4.0
abrupt,weak,sgd,drift_error_plastic,0.5479849794909887,0.5830672107117773,6,0.34464999771444127,0.0
abrupt,weak,sgd,drift_error_stable,72684245152.93243,72829923597.98944,2,0.42040000698762015,9.0
abrupt,weak,ridge,static,0.4455012361708214,0.48887318085737524,0,0.0,
abrupt,weak,ridge,periodic_k5,0.19581864361058124,0.22896256202156479,4,2.6580499979900196,2.0
abrupt,weak,ridge,drift_error_plastic,0.3164880573071725,0.3384901598113772,8,0.7694500000070548,2.0
abrupt,weak,ridge,drift_error_stable,0.3554022825459486,0.4068912169052309,2,0.7169999953475781,
abrupt,weak,rf,static,0.545564690736788,0.5929738839166336,0,0.0,
abrupt,weak,rf,periodic_k5,0.2983529109641767,0.33640763511138777,5,195.53301999985706,0.0
abrupt,weak,rf,drift_error_plastic,0.5045347897025999,0.5310642631062291,7,182.76375714257094,0.0
abrupt,weak,rf,drift_error_stable,0.45718062338119475,0.4948992690196347,2,168.72324999712873,6.0
abrupt,weak,hgb,static,0.5733574995219052,0.6204267237083833,0,0.0,
abrupt,weak,hgb,periodic_k5,0.3727236829648456,0.41133346720547564,4,88.08784999928321,3.0
abrupt,weak,hgb,drift_error_plastic,0.5980161788288684,0.623991939608704,7,44.57525714159211,0.0
abrupt,weak,hgb,drift_error_stable,0.5436150758408425,0.5917876730027521,1,71.0930999921402,
abrupt,medium,sgd,static,0.48603579127781715,0.5326458385141035,0,0.0,
abrupt,medium,sgd,periodic_k5,0.3078670224445012,0.35083876745376585,5,1.6347599972505122,1.0
abrupt,medium,sgd,drift_error_plastic,0.5710843058135407,0.6063814030579697,6,0.6619333313816848,0.0
abrupt,medium,sgd,drift_error_stable,71531154778.76376,71679589309.13556,2,0.41870000859489664,9.0
abrupt,medium,ridge,static,0.5621132630892214,0.6040118871014509,0,0.0,
abrupt,medium,ridge,periodic_k5,0.23269842430018065,0.2662857070943165,4,1.7767249955795705,4.0
abrupt,medium,ridge,drift_error_plastic,0.3154089437059652,0.33706541427381026,7,0.7236285704753495,0.0
abrupt,medium,ridge,drift_error_stable,0.36475435881906865,0.4177474773697185,2,0.7040499986032955,
abrupt,medium,rf,static,0.5404650838247161,0.588467526882269,0,0.0,
abrupt,medium,rf,periodic_k5,0.3910388889696172,0.43024968701752436,4,177.25544999848353,2.0
abrupt,medium,rf,drift_error_plastic,0.5048323751954706,0.5318181146958261,7,160.18365714574298,0.0
abrupt,medium,rf,drift_error_stable,0.47801051402255157,0.515832823615015,2,172.85195000295062,6.0
abrupt,medium,hgb,static,0.5710105046964984,0.6184776329487108,0,0.0,
abrupt,medium,hgb,periodic_k5,0.29319081504389916,0.3318929881350906,5,88.01267999515403,0.0
abrupt,medium,hgb,drift_error_plastic,0.5976524350361044,0.6244131913619749,7,41.7884285728048,0.0
abrupt,medium,hgb,drift_error_stable,0.5324958418069072,0.5815823981598232,1,52.012300002388656,
abrupt,strong,sgd,static,0.48550189736888005,0.5347198624684946,0,0.0,
abrupt,strong,sgd,periodic_k5,0.3421724221290171,0.38840565374056174,4,1.5565500034426805,3.0
abrupt,strong,sgd,drift_error_plastic,0.6180507850736146,0.6547526637373476,6,0.7454833321389742,0.0
abrupt,strong,sgd,drift_error_stable,83057314006.10698,83184207078.27733,2,0.7647999955224805,9.0
abrupt,strong,ridge,static,0.8275680760738241,0.8664933833352134,0,0.0,
abrupt,strong,ridge,periodic_k5,0.19850665702050144,0.23907208813173006,5,1.82857999461703,1.0
abrupt,strong,ridge,drift_error_plastic,0.345541900779342,0.3718928581460764,7,0.7201000012823248,0.0
abrupt,strong,ridge,drift_error_stable,0.3857191585085227,0.44245018236145395,2,0.7172999976319261,
abrupt,strong,rf,static,0.53664127832857,0.5860974375072964,0,0.0,
abrupt,strong,rf,periodic_k5,0.3129562073778977,0.3572640182517191,4,188.3027999974729,4.0
abrupt,strong,rf,drift_error_plastic,0.5176969934326262,0.5473812701622631,7,156.73851428437047,0.0
abrupt,strong,rf,drift_error_stable,0.4642231800809864,0.5044658383472365,2,161.6457000054652,6.0
abrupt,strong,hgb,static,0.5687383510751748,0.6183315666481114,0,0.0,
abrupt,strong,hgb,periodic_k5,0.3946913912767976,0.43438869669048147,4,105.57650000191643,2.0
abrupt,strong,hgb,drift_error_plastic,0.5986069495256164,0.6276100323940347,7,48.519899997959975,0.0
abrupt,strong,hgb,drift_error_stable,0.5412385169811619,0.591525541389898,1,54.14829999790527,
gradual,weak,sgd,static,0.6284127065491302,0.6503896469590664,0,0.0,
gradual,weak,sgd,periodic_k5,0.2222276082155571,0.24549893958086733,5,1.008359997649677,0.0
gradual,weak,sgd,drift_error_plastic,2.9176256900900572,2.9354531800088655,5,0.3457400016486645,2.0
gradual,weak,sgd,drift_error_stable,0.5355211447423746,0.5547073610213403,1,0.36639999598264694,
gradual,weak,ridge,static,0.4701968820153015,0.48471868455579875,0,0.0,
gradual,weak,ridge,periodic_k5,0.14150977893263283,0.15997227763180025,4,1.7123000034189317,3.0
gradual,weak,ridge,drift_error_plastic,0.16213003998020667,0.17521325001491664,8,0.7035500038909959,2.0
gradual,weak,ridge,drift_error_stable,0.20706812890276496,0.22339237804291034,3,0.7489999989047647,5.0
gradual,weak,rf,static,0.5055770553612758,0.5336454944419176,0,0.0,
gradual,weak,rf,periodic_k5,0.2589765351718393,0.2830137932218138,5,186.4135600044392,1.0
gradual,weak,rf,drift_error_plastic,0.4710425344240589,0.4924682935434148,7,166.31005714589264,1.0
gradual,weak,rf,drift_error_stable,0.39524610326086335,0.4192934075422089,2,174.09950000001118,6.0
gradual,weak,hgb,static,0.5822888055226076,0.6104412842596523,0,0.0,
gradual,weak,hgb,periodic_k5,0.2627715480781733,0.28652144085222964,4,97.44952500113868,4.0
gradual,weak,hgb,drift_error_plastic,0.6507670731773494,0.6731765436341012,7,48.21981428540312,1.0
gradual,weak,hgb,drift_error_stable,0.5215197106205076,0.5504366940717238,1,57.33260000124574,
gradual,medium,sgd,static,0.6424862587161007,0.6676132768041815,0,0.0,
gradual,medium,sgd,periodic_k5,0.28495734383290783,0.31082095190352454,4,1.0516499969526194,2.0
gradual,medium,sgd,drift_error_plastic,3.6264223848685173,3.6474621092758626,5,0.35566000442486256,2.0
gradual,medium,sgd,drift_error_stable,0.4278297182544414,0.4523989824033585,2,0.3814000010606833,6.0
gradual,medium,ridge,static,0.5995538209048825,0.6156686192037829,0,0.0,
gradual,medium,ridge,periodic_k5,0.15017549617079903,0.1730171990358108,5,1.7507200012914836,0.0
gradual,medium,ridge,drift_error_plastic,0.15242194319914637,0.16921361193971585,8,0.7374249980784953,2.0
gradual,medium,ridge,drift_error_stable,0.22462253762772474,0.2448118691057518,3,0.7774666640519475,5.0
gradual,medium,rf,static,0.5151463564951908,0.5462214584804284,0,0.0,
gradual,medium,rf,periodic_k5,0.327652479216514,0.35631491174393193,4,181.4233749973937,3.0
gradual,medium,rf,drift_error_plastic,0.49289484866679933,0.5157502014176714,7,143.56047142687854,1.0
gradual,medium,rf,drift_error_stable,0.4214386262170844,0.4473994873638068,2,165.87455000262707,6.0
gradual,medium,hgb,static,0.5969790895729683,0.6283009845002738,0,0.0,
gradual,medium,hgb,periodic_k5,0.2899954118697251,0.31826830196713357,5,108.57448000169825,1.0
gradual,medium,hgb,drift_error_plastic,0.6656881348320597,0.6894016526523231,7,48.350842852544574,1.0
gradual,medium,hgb,drift_error_stable,0.5277913954059261,0.5606439127513513,1,70.43690000136849,
gradual,strong,sgd,static,0.6600649530526991,0.6914940727596944,0,0.0,
gradual,strong,sgd,periodic_k5,0.33692372076322114,0.3715801699155518,4,1.1460499954409897,4.0
gradual,strong,sgd,drift_error_plastic,171789172.9859639,171808865.35645774,5,0.3593399975216016,2.0
gradual,strong,sgd,drift_error_stable,0.45880925488196245,0.4895139846456216,2,0.37590000283671543,5.0
gradual,strong,ridge,static,0.843265736394359,0.8641268771028247,0,0.0,
gradual,strong,ridge,periodic_k5,0.24359757671206203,0.27239405213150697,4,1.820974994188873,2.0
gradual,strong,ridge,drift_error_plastic,0.17401384347398888,0.20092122787260702,7,0.7561428543080443,1.0
gradual,strong,ridge,drift_error_stable,0.4712046494408861,0.48922294169485236,2,0.9456000043428503,5.0
gradual,strong,rf,static,0.5286388958287707,0.5673897824513768,0,0.0,
gradual,strong,rf,periodic_k5,0.27664857980488616,0.3112013239132436,5,200.3181999985827,0.0
gradual,strong,rf,drift_error_plastic,0.48432158863905633,0.5132893667736774,7,158.03867142988435,1.0
gradual,strong,rf,drift_error_stable,0.3663642925434891,0.3988775690917952,2,185.85349999921164,5.0
gradual,strong,hgb,static,0.6167890382909699,0.6548607594472663,0,0.0,
gradual,strong,hgb,periodic_k5,0.37850361338642885,0.40990583787880813,4,104.61407499678899,3.0
gradual,strong,hgb,drift_error_plastic,0.6225409980120579,0.6524909422537108,6,50.082733328357186,1.0
gradual,strong,hgb,drift_error_stable,0.5438085075471202,0.5837781666506087,1,68.06029999279417,
recurring,weak,sgd,static,0.38603284983235236,0.43298656035228195,0,0.0,
recurring,weak,sgd,periodic_k5,0.31326001316391133,0.3521636696211798,5,1.0153800016269088,1.0
recurring,weak,sgd,drift_error_plastic,103091881.85666977,103103699.39832082,5,0.36732000298798084,4.0
recurring,weak,sgd,drift_error_stable,0.3593613074261897,0.4069408813005634,1,0.4406000080052763,16.0
recurring,weak,ridge,static,0.2167564868086515,0.2677138770076097,0,0.0,
recurring,weak,ridge,periodic_k5,0.2675746590580412,0.3083524698233058,4,1.7407249943062197,4.0
recurring,weak,ridge,drift_error_plastic,0.2534210693519631,0.28814137682897023,5,1.0014799976488575,6.0
recurring,weak,ridge,drift_error_stable,0.32164257757603665,0.3521233624302879,2,0.8548999976483174,6.0
recurring,weak,rf,static,0.5191172469534036,0.5640063424173571,0,0.0,
recurring,weak,rf,periodic_k5,0.39776830790624573,0.45058025096463655,4,187.2049000012339,2.0
recurring,weak,rf,drift_error_plastic,0.4173143704370897,0.4496632451588379,7,158.95924285827536,4.0
recurring,weak,rf,drift_error_stable,0.42766121739631235,0.4767698136482028,1,162.37099999852944,15.0
recurring,weak,hgb,static,0.5280747489950651,0.574269298649028,0,0.0,
recurring,weak,hgb,periodic_k5,0.3329686625754778,0.3910598226631624,5,100.17641999875195,0.0
recurring,weak,hgb,drift_error_plastic,0.4728836207578821,0.5075691259138405,7,48.2148999976094,4.0
recurring,weak,hgb,drift_error_stable,0.49668733870317294,0.5447976848390211,1,80.51669999258593,16.0
recurring,medium,sgd,static,0.38883752751517836,0.43630461862538916,0,0.0,
recurring,medium,sgd,periodic_k5,0.3086902338851837,0.3530850828622431,4,1.037125002767425,3.0
recurring,medium,sgd,drift_error_plastic,116818027.2668759,116831418.24949378,5,0.34498000459279865,4.0
recurring,medium,sgd,drift_error_stable,0.3607182316045697,0.4091079195900537,1,0.41199999395757914,16.0
recurring,medium,ridge,static,0.23522065524493171,0.2860061087329075,0,0.0,
recurring,medium,ridge,periodic_k5,0.24667727388054725,0.29007486806623717,5,1.7080200021155179,1.0
recurring,medium,ridge,drift_error_plastic,0.2921705632698113,0.32742888190638636,5,0.7185599999502301,6.0
recurring,medium,ridge,drift_error_stable,0.3454956687678104,0.37710778044582816,2,0.8052499979385175,6.0
recurring,medium,rf,static,0.5213181400100099,0.5668703873598518,0,0.0,
recurring,medium,rf,periodic_k5,0.3911515196217254,0.44473163340457744,4,178.67070000284002,4.0
recurring,medium,rf,drift_error_plastic,0.4199490554825878,0.4529563230915164,7,153.75379999750294,4.0
recurring,medium,rf,drift_error_stable,0.42879508184492193,0.47848388986523677,1,160.80080000392627,15.0
recurring,medium,hgb,static,0.5306830232263242,0.5777187540657984,0,0.0,
recurring,medium,hgb,periodic_k5,0.3831833372621313,0.43753333814964246,4,275.3777750003792,2.0
recurring,medium,hgb,drift_error_plastic,0.4737745757505907,0.5093854967815253,7,126.9814428565691,4.0
recurring,medium,hgb,drift_error_stable,0.5004128314177804,0.5492376576704359,1,68.994000001112,16.0
recurring,strong,sgd,static,0.3958771501806046,0.4449177605002154,0,0.0,
recurring,strong,sgd,periodic_k5,0.3799641445822489,0.42496726781084426,5,1.2379200023133308,0.0
recurring,strong,sgd,drift_error_plastic,144270318.08811247,144286855.95330563,5,0.3894800029229373,4.0
recurring,strong,sgd,drift_error_stable,0.36532224669170255,0.41627561318465545,1,0.42150000808760524,16.0
recurring,strong,ridge,static,0.382514086144244,0.43223118117122133,0,0.0,
recurring,strong,ridge,periodic_k5,0.28187776607429044,0.328543816420915,4,2.37629999537603,3.0
recurring,strong,ridge,drift_error_plastic,0.2706937297485639,0.3093351885092982,7,0.8710857135676113,5.0
recurring,strong,ridge,drift_error_stable,0.44989027004393817,0.4837812137379563,2,0.9281000020564534,6.0
recurring,strong,rf,static,0.5245698392221061,0.5722069960043826,0,0.0,
recurring,strong,rf,periodic_k5,0.3625104868226051,0.42265652730073294,5,213.5608200042043,1.0
recurring,strong,rf,drift_error_plastic,0.42760732387245654,0.46440797091779035,7,158.39627142746136,4.0
recurring,strong,rf,drift_error_stable,0.46555543301774355,0.518572050579731,1,164.83840000000782,16.0
recurring,strong,hgb,static,0.5339577426718078,0.583692226509393,0,0.0,
recurring,strong,hgb,periodic_k5,0.4002298138233779,0.45537331663525615,4,111.59520000364864,4.0
recurring,strong,hgb,drift_error_plastic,0.4738435353463931,0.51142822557565,7,55.38381428466112,4.0
recurring,strong,hgb,drift_error_stable,0.5007555323575196,0.5523895257117261,1,82.74830000300426,16.0
